tweet,class
cant get rid easily bitch,1
bu hate playa yankees hate yankees payroll hate dodgers,2
watch baseball actually go mets jon stewa fuck yankees,1
hate yankees though right feel like really good hating,0
hate cowboys yankees,2
hey u get involved black black situations cause hate whitey b honest,2
nobody never invite lesbian pay bitches,1
know imma broke ass bitch,1
bitch please trying say closer philly,1
pussy pussy pussy,1
youre bitch,1
stop blowing spurs pussies,1
many little whiney bitches america someone cry anything ie kids must wear bicycle helmets,1
living bitches httptcouplzynv,1
pussies,1
ill come rape wife bitch boy,1
bitch,1
cause didnt wanna see bitch ass,1
one bitches make money,1
hey law made felony keep collect records get facts straight,2
discredited per government study good factual pay bills moocher teabaggers republicans,2
lmfaooo many returns faggot gotten,1
huge yankee fanenjoy httptcotkmlty,2
birds feather go away,2
thanks hoe,1
pussy ur mouth really good stress reliever doctors recommend,1
think u need massage pussy mouth make u feel less stressed u think,1
whatever want since arent lying ass bitch ass childish ass fucker,1
yeah sucks like fags oh nevermind fags,0
youve got sole,2
ill uk fag means cigarette faggot bundle sticks homo,0
admit staed shit calling youre bitch well move,1
bitches,1
googles bitch search ann b davis sexy match image results,1
said vagina fag seen movie,1
become nation giant dripping whiny pussies anyway make dude president iraq even hes,1
nevermind still little bitch httptcozpypjbuyu,1
might need pummel bitch,1
yo follow back nigguh,1
veical nip barsi already horizontal ones think itll look hella cute,2
also put touch nedchuck mix,2
pussy,1
still ugly hoe still look like muffie ahur,1
fran hillbilly virginia mountain pres white anglosaxon beliefs,2
fuck frank pussy,1
saw actual tweet scanning jihadi accounts put screen shot aid workers r spies,2
shut faggot one cares,1
bitches talk shit got right swerve god damnit da shittt,1
wheres nigguh,1
call ghetto nunchucksthe reason went jail well,1
lmao lyin sis bitch told light bulb whole wide world light today ca fuck,1
fuck spear chucker,0
lmao bitch dumb slap,1
tyler makes think theyre lil nigger baby hoodrats,0
fuckin name hoe,1
everyone bitches anyways guy cant win fans would run revis prime,1
something else another bitch panties love swear,1
would make great baby bird pic bruh,2
text fag,1
fight hoe,1
haha ya hit hoe right,1
lol bad forgot hoe made ya sad,1
youll see watch finna hit hoe put,1
bitch wasnt following u first place get fuck tl,1
bitch ever seen fight even talking shit,1
bitch shut yo little ass fucking color emo faget ads nigga u call dumb u know shit,1
bitch like pussy go away u much talking much talk fist u get yo dad little fuc,1
one bitches talking shit bout shit,1
shit whats hoes ill hoe pretty sure u level,1
wow u hoe term,0
hate japs aint forgetting gettin japped either,0
ur fucken lame bitch,1
thot pussy,1
whatever hoe bitch fags beat yall sad asses,0
fags,0
literally told face trash shop hooping,2
tits may better looking face makes like asian latina tranny,0
look like welfare bitch compared latinas date fuck need fashion makeup tips tbh,0
job us prez protect us throw trashebola er cost daniel money lives dog,2
lol faggot hid moon boss helping,1
never moose lol log faggot finished,1
mean bro fucking faggot,0
bitch come bitch scared coward enough fuck cant last two minutes world bitch,1
die car accident faggot,0
gunna let bitch like,1
translation like really think think queers deserve happy ending,1
fuckin moulinyan,1
hes definition little squirrelly bitch,1
httptcojpwlaercu via,2
fuckkn hate fights big pussy time,1
bitch,1
ole bitch memphistn think u rock also,1
guys cry whine whenever someone says faggot ridiculous,1
think guinea pig okay,2
hour youre home chillin working pussy,1
lmaooo fag,1
faggot,0
bitch pussy,1
puppets like intentionally forever cripple peoples ability unify eco political consensus,2
referring second put vick slot play,2
god forbid actually voted give people affordable insurance rates bitch,1
worst terrorists republican teabaggers,2
guys company best year everunder obamaconservative teabaggers scum,2
ur sassy white trash change ur username,0
k bitch httptcoituahyhcr,1
ok faggot httptcozdgtegvzx,1
bullying didnt know u could bully internet bitch came idk u mentions bruh,1
yes true reagan firstike wouldnt president supreme allied commander,2
understand trash cansdumpsters everywhere wait till go somewhere one,2
yo girl whats yr potential wanna retard,1
bitch lol,1
btw happy bihday charlie get better soon,2
watchvlkaqjucg stay safe charlie,2
place ho garden,1
pudding right pussy,1
right fucking pussy,1
lax gun laws ur retarded murder bcuz one defend crooks guns,2
hey still lambdamoo really empty nobody talk except asshole bird,1
feels like video band would pussy releasing thank god spiritualized still around make,1
learn type ya hillbilly,0
real girls like impress bitch,1
bailey gettin pussy,1
humans evil cutting tusks beautiful animals chinks think get hard,0
way gym already thx bitch,1
ceain season comes around time hoe,1
chris stop angry bird spitting n dana go hail ur racial tendicies u didnt infor caer n u never talk abt,2
jimmy want talk trash wouldve shouldve couldve chris stop talking spitting,2
youre hoe,1
bitch goin,1
bitch going,1
hoe,1
k bitch niggas,1
stupid bitch apparently,1
indeed nigga used use nigger,1
diaval gets pass viue mostly bird,2
last year explain queer theory acceptable academic term,2
bitch yeah caught red handed sorry,1
merry christmas hun,2
fuck olive bitch,1
bitch look like gon blow away fr,1
nd kno much love clams lol,2
kno love stuffed clams bai,2
stop half breed staing learn makes dumb ass,0
already retarded,1
crazy bitch,1
sure aint colored,1
lol got nothin nobody witta sayin summa hoes lyingggggg,1
nigger,0
ayy might well get fat hoes even like abs nomo like balla bellys,1
bitch u u look like full breaded cracker,1
yea native black proud bitch,1
suppose go team beat us retarded,1
really u use another nigga name u follow nigga fucking like faggot kok eyed fucker,1
bitch u go read wtf put,1
never played halo busy slaying bitches,1
probs fag vhia,0
dgaf hoe,1
repeat u white trash,0
wouldnt know cause fuck hoes,1
lol bitch ass,1
hoe,1
boooooi tmi hoes,1
,1
yellow cake chocolate frosting,2
looks like pretty dyke,0
kept border open disease central america lowest workforce pa since caer yep real boon nc,2
u pull fucking retard,0
bitch even know wtf r u talking nigga stop fucking dreaming,1
yo fat ugly ass couldnt even pull ugly bitch school,0
somebody whos much moron pussy belong force,1
make animal cracker taco,2
full niggers,1
lmaoooo hoe look like,1
naw drop bitch south dallas rest homeless dogs,1
tell nigga aint purple bitch nigga black httptcoidxcmvzu,1
mammy push white baby like bitch,1
big bro thought house pays pajama jam like bitch httptcodjuvhsby,1
like bitch gram,1
lol wouldve beat hoe,1
yeah niggas dipped cars left barn getting chased ghetto bird,1
young thug aint earn strips yet lol k bangers wiz dat cuz lil nigguh rap game lol,1
wanna get looked funny say nigger public,1
basically foams ugly dem bitches look big long floppy nh,1
nerve hoes,1
baker planted bitch white guy lights wick,1
monkey cigarette hes dead serious,1
female dms talking another nigga youre faggot b,1
tell sounds stupid pretending female talking guy faggot,1
mean nice try right nigga faggot wanna argue bout anything else continue,1
bitch houston,1
boy said last night ill gym bc refuse sloppy like bad built bitches lol,1
oh bitch saw instagram post screamed,1
rate hoe,1
hoe suck,1
learned great asia torres take notes bitch,1
eew bitch get carrrr,1
see dis happens colored move neighborhood aint sick fo days,1
nice way callin yall honkies,0
really thuggin wtf look like hanging around lil chipotle jamba juice ass bitches like,1
chunky,2
hairy like monkey p,2
home one hoe katrina,1
shuddup hoe,1
ion fb niggas twitter aint worried ig nigga foe everybody try bffl got hoes,1
fuckin bitches talkin shit bout get hit,1
shoulda came familys dinner tonightwe talked shitting negros,1
aint never orderin colored pizza stow,2
see da dayd presidents coz bitches hoes makin money day way,1
going miss big nig,1
lol kids act redneck oviedo,1
bitch,1
monkey look like,2
bad ass bitch,1
trash,2
honky tonk badonka ankh,2
lmaoo boy think benny heard lol blasting bitch,1
yea ima spin yo hoe,1
bitch outta line,1
r u still talking smh bitch idgaf u stfu talking u going around circles,1
fuck hoes meaning stfu hoes lol,1
fuck hoes,1
happy bihday faggot,0
top notch bitches,1
youre concerned much lady makes bitch shit need ego stroked,1
see feel betrayed racism comes shocked didnt call uncle tom bitter loser,2
faggot,1
ok hoe,1
yas bitch much fun,1
trash,2
youre funny trash,2
unloyal retard,1
hoser eh httptcoqulowmlb,2
whatchu gon bout bitch,1
swear disgraceful like bitch line really dry day ill get emails pacsun,1
kiss assand yes muhammed bitch like osama binladen,1
going blame black since always blame whitey equal oppounity hater,0
name ollie bitch,1
pau pissed like boozer pissed bulls fan soft faggots,1
simmons acted like bitch doc left la,1
last planet apes kids minute,2
twitter folks folks mad someone calls nigger,1
nice lie want see make real like reagan conservative another huge lie,2
gt get past boot camp go active years see really daily liberal pussy,0
also recommend pack shiner bock hours brisket duty pit feeding oak coals,2
thank much bitch move pull thank,1
fuck tight pussy dripping wet,1
haha bitch really tho good catch yo pretty fun last time chilled,1
yo nig cheeseball,1
ouuuuufffff see pussy,1
karma bitch bruhh,1
fight bitchez bitch much,1
eat shit nigga bitch turd bag dick beetle,0
bitch sure,1
ur cunt nd wish faggot,1
ion gotta bitch ass thang like wtf saying unfollow,1
retard ale,1
playas fuck lmao like trash forreal crazy one see,1
spear chucker hell,1
blocked annoying ass sand nigger claims biased yet one say anything khan,1
play together soon playing random faggots fun,1
least put caption stealing pic fag lol,1
looks ghetto fuck,1
th guinea pig haunt,1
trash talker brah polite diplomatic cou,2
pussy wouldnt show bro,1
pussy,1
shut miss fag,1
cant see flipping bird,2
hotter pussy pepper patchwho makes shit anyways,1
lemme cheer bitch,1
lets hang nigger,1
pick sc take us nip cr,2
weird see local yokel journalist get worked enough take pointed side though thought impaial,2
care saying calling someone bitch still calling someone name,1
ok ill sink level youre special kind bitch arent,1
knew gettin pussy later yakked look stoned hell httptcozwxyrmi,1
fucking bitch,1
lmao fucking bitch ima whoop like yesterday trying update roster,1
puff pass porn tablet run bitch assless chaps swearing catholic,1
nigga whos bitch u fucking cracker get gay ass mentions,0
bad bitches,1
real gangsters knoww nate aint never loved hoe,1
monkey dong,1
bitch subtweeted,1
fuck yeah hot big blk boots scally lad would get,1
th incompletion slants looked like better options shame youth lack trust going,2
dumb hoe haha already lost thing ya gave today,1
haha hoes go hard nigga stooooned lol,1
bitches smell like fas holdin since th grade,1
bad bitch shit forever,1
uhh bitch never overplayed itv,1
yeah niggas straight bitches,1
yeahbut one wanted followersyou gotta work bitch,1
fag,0
fag,1
dykes arent even human tbh like empowered dress like like bitches alien shit,1
bitches tryna step us httptcoxkchwjuag,1
paially glad say hi ho kermit frog slip kermit voice well,2
sameeee bitch asss lol,1
yall tryna fuck bitch game nah,1
racist ntx trash w hate see paicular wh n butler,0
yeah get trouble less percent chance mistake youre fucking retard,1
hey bohner said got wanted sequester sound like moron everyone knows lying,2
else teachers constantly bitch pay,1
got bitches though,1
said ok u let ur punch u ur pussy long makes u cum,1
scared pussy,1
nice profile pic fag,1
always call away ya need nigs,1
retarded lol jk,1
ehh tough yeah lol jk course niglet,1
terms like honkey cracker peckerwood stereotypes white people fucking kids sisters isnt racist sweet,0
pussy put yo ass sleep calling nyquil,1
way dude fat diet twinkies devil breakfast tacos miss breakfast tacos,2
pussy talk friend seem hard,1
bare ass cunt hear,1
aye hoe,1
eff dem hos,1
totally smells like brownies every day walk work,2
bird hats gt every hat,2
bird hat hats hats beat,2
find new hillbilly,2
fact sta forprofit university would sole requirement graduation,2
ha actually going see yankee game weird sounds uncles house nj hour away,2
could get matching burner phones ghetto fab months,2
jessica afraid slit throat tomorrow,1
fuckin pussy makes fun people day radio someone calls creep blocks,1
bernstine chi sox jew fag,0
like said pussies,1
bitch,1
long tittie nipple havin ass bitch,1
least one dude guts like opinion qquit bitch keep scrolling,1
fag,0
ima call different number cuz moms still sum hoe shit,1
joey r u retard defense allow avg like point u really need,1
rooting team hate banwagoning u retard u different favorite,0
ill fucking merk bitch dude fuck,1
ur welcome u bitch,1
minute red n yellow rent signs go reg ppl sta selling n move,2
love racism blame whitey everythingnow mention bet white put dese tooise,0
fuck hoes hoes,1
please like snob elissa rich bitches suck,1
better called kid pussy,1
,1
bitch,1
argie,2
bitch huh nigga gonna damn thing sir page oh u forgot,1
shut yo cracker jack buck teeth ass native nigga best kind,1
nat def shiner,2
heard hillbilly grumblings bugs worse recent years mic shutdown,2
xbox live fags,1
youre also better little bitch,1
blue cheese crackers intrigues repulses time,2
oh shut faggot get disease overused twitter,0
nig nog,1
bitch starving,1
bitch yesssss make girls mad,1
couldnt handle iowa pussy kitty kitty kitty httptcoanmkmoy,1
stegosaurus hissed like snake pterodactyl sounded like crowtrex like cross parrot elephant,2
let hoes great,1
lmfaoooo tryna see many hoes lure,1
guy maine coon total cuddle bum every one ever met super friendly,2
fag lol,1
ltltlt getting ass pounded loving done gay whiney bitch next,1
real lil bitch,1
understand everyone loves pussy,1
quote tag bitch,1
bad bitches roe r u,1
retarded,0
also nack autocorrect changed putting phone trash going sleep,2
honestly fuck whoever agreed bitch ass nigga never going get tupac level,1
fag,0
understand stop venting bitch give much insight life people deserve,1
would want girl stand bitch letting,1
swear straight bitch,1
annoying ass fuck boy could still meet fight somwhere else u shut bitch shit fuck boy,1
bitch u fuck nigga,1
bitch look like one characters sesame street yo ugly ass,1
nigga bitch talking bout boxing u read,1
wtf u tryna bitch,1
nigga aint fucking champ straight bitch bout shit bitch made,1
mama raised bitch right,1
fucking ignorant u talk lot shit someone wanna fight mama raised u bitch huh,1
stupid little cunt thought couldnt get lower dare spit people fucking fans,1
fun getting depoed fucking faggot,1
nice wigger stache,1
oh forgot retarded lol lemme break bg hoes lmao,1
god bless whitey sleepin tomorrow,2
quit bitch,1
oh hoe trippin bout,1
put lotion bitch ass nigga,1
got win nicca lmao,1
ok niggers raw,1
lol one flavor think yellow idk yea bomb,2
pussy,1
triesto cause drama people said called bitch know didnt hahahaaha,1
,1
yeah one called race traitor lol,2
well know like children murdered kind weird would little bitch twitter list,1
said ready bitch okay lmfaoooooooo done,1
tell yo bitch stop calling fam httptcozwoawgi,1
send bitches express mail overnight delivery,1
aha welcome niggah,1
even trip niggah got lol,1
look realest niggah rosecrans lol,1
niggah niggah lol,1
niggah know lol know life aha,1
cant help notice attempting avoid acknowledging hairy pussy,1
oh youre perpetually hairy pussy tho different story,1
pussy mine,1
aka wanna keep warm shoulda introduced,2
let coons great dream,2
u gotta slow coon hrs know love n hip hop lebron fake love quotes,0
pussy shit,1
judge monkey,2
nig,1
shine bright like bad bitch,1
hoes gon hoes couldnt blame tammy,1
stink shut hole perform tricks like good trained monkey,2
washington post call president ignorant ask racist angry bitter bitch look mirror,1
bitch please ill go windsor either way come bring also,1
nah bitch dykey,1
know bitches love,1
ha bitch know,1
cant stand heat get kitchen gratata swag bitch,1
holy fuck thank hate bitches fuck ex boyfriend back back like damn call peace pipe,1
trust tweeted like damn fag,1
bitch back taken,1
dare ill slay ass fruity quaffing tranny,1
funny blond bitch,1
hey need foul language kike,2
hey fuk hoes prolly already,1
call trash,2
yep assholeoh well little bitchim sure hears worse daily basis,1
suck ass bum ass yankees foh,1
poor coonsnow stopped herenow wind would might nice outwell winter,2
haha pussy,1
know bitch,1
bitch wasnt,1
bitch shit soooo funny,1
bitch looked surprised asf yo mama let drive shit,1
like worst lyrics post beautiful know theyre talking trash,2
forget nappy headed butt ugly bitch whos married muslim,0
beauty brownies always daydream id hit powerball lol nerdy fun,2
dumb bitches r th,1
bring bitch,1
nah dude mostly sound like faggot,0
safe bruv welcum twitter niggur,1
wrong skiny girls guys want hot sex looks good tooevery fat bitch knows,1
isnt law clam chowder must served bread bowls haha,2
ruga bussed yo bitch,1
duh youre main bitch,1
pretty easy actually cashier right eating animal crackers lolol,2
time bonfire saturday hoe,1
hey guy first name fag,1
fag,1
moderator wants bitch slap romney hard,1
got bitches look like bulldogs instead lol,1
quit ya hating oyster lookin ass bitch,1
nope got lucky washing slopes gonna make little rough combining feeling founate today,2
shy glizzy,2
know kidding bet funny love blacks call eachother ignorant niggers makes,0
bitch time,1
nigga stop bitch come high school already said yes,1
fuck fucking song wtf r u talking yes fuck bitch,1
plz come really sick bitch ass talking shit plz come going,1
letting whats going happen like u pussy ass niggas plano,1
bitch plano every fuck weekend make excuses stfu fight,1
bitch tf dumb going someone else told u shut shit,1
bitch next year come weekend,1
yo scary ass want see tho stfu talking u know pussy boy,1
u fucking trailer trash,1
naw really bitch mean yo address,1
bitch keep talking,1
bitch yall come town east mall u bitch fuck boys,1
bring yo bitch ass town east mall let know u bitch,1
bring bitch ass town east bitch,1
u call dumb u speak shit u know nothing yea look whos fucking talking retard,1
yall oh going fight come town east bitch,1
yea true bitch,1
fuck still talking shit acting like pussy ass nigga,0
u going talk shit another state dat pussy shit,1
heard mama raised like bitch,1
said name bitch yes fuck boy,1
lmfao making money yo duck ass bitch dallas tx born raised back shit day nigga,1
real pussy ass nigga would give fuck u think lmao stfu,1
u think like pussy boys run mouth cant back words,1
fuck bitch whats real fucking address get bitch yo blood tell address,1
done acting like little bitch year old nephew realer scary ass sunset time u dumb fuck,1
going hu bitch ass feelings,1
stop bitch made nigga show ass whooping,1
said didnt like fuck u got shit u made stfu stop assuming bitch ugly,1
would care bitch ass nigga think u understand fucking scary u look,1
got pussy bllod,1
bitch wanna talk wanna fight pussy ass,1
bitch phone stfu talking worry make sure show,1
bitch really fucking like fuck even talking,1
bitch fam wtf skrong says shit like get wack ass page lamo,1
bitch cause u wanted fight didnt show tryna make bet shit get yo friendly ass twitter,1
bitch didnt discuss shit yesterday time faget,1
bitch get fuck tl u mean,1
bitch go get life block lame ass,1
bitch lets fight today going bitch think going bitch,1
bitch meet,1
bitch says traffic stop bitch stop making excuses,1
bitch u thot oh fake ass nigga box hoe u bout nothing,1
bitch u describe terms,1
bitch talking u stfu get page oh bitch nigga u bout life,0
bitch show tweeteddm texted called u asked u tryna meet bitch ur fucking weak,1
bitch must flew u head cuz u didnt show plano senior high school plano tx fuck boy,1
bitch whos fucking playing would u know smoke fuck friendly ass niggas,1
bitch whos playing worried little faget ass friends vines know niggas vines wtf u say,1
bitch wtf r u talking tf r u still talking shit action thank proving point pussy boy,1
bitch funny stfu talking pa understand,1
bye bitch,1
catch hoes onsaturday meet plano senior high,1
ha bitch angry bitch taller older fake ass boy stfu making look like dumbass pussy boyy,1
let say clearly since retarded ass understand,0
would u know fuck exactly wtf got shut retarded ass,0
swear u fuck nigga u scary little bitch u think game huh,1
idgaf name scary ass give real address hoe,1
say sound like little bitch nagging shit u,1
keep talking going make u cant talk u going talking like retard,1
lets settle fight stop pussy,1
lmao ur dad raised u bitch made nigga,0
meet stop hitching back words pussy,1
mfka ok bitch going see funny fucker,1
naw fam aint bitch made niggas gtf shit fuck nigga fam oh friendly ass nigga,1
nigga went go get homeboy texted u naw u bitch,1
nigga really give flying fuck u wanna talk shit back words scratch stop little bitch,1
nigga u called bitch last time check fucking nigga get ill show u real fight like,1
nigga talking bout school ever choice bitch,1
oh lame yo pussy ass didnt show fuck u talking bout oh scary ass white boy,0
oh grades say wise u stfu get twitter u box simple ass pussy boy,0
pussy,1
pussy nigga term,1
restricton g means license revoked stop making excuses straight bitch,1
sorry know tell get pussy ass twitter,1
u bring bitch,1
u tool bet u want shoot tho pussy ass nigga u cant dem hands tho,1
u feel like dumb ass u pussy boy,1
u going get dropped bitch fucking nigga got fucking dick,1
u made drive way plano wanna bitch,1
u want panda express someone break like fuck stick plan go plano get bitch blood,1
u see saturday u show bitch made nigga pussy ass nigga,1
umm sure hoes talk arent ugly,1
wtf r u talking plano tx r u talking pussy boy,1
wtf u think u ole pussy ass nigga,1
yes bitch fucking square,1
dumb fuck fucking full address dumbass live plano fuck would know retard,1
fucking retared even funny bitch going sleep u,0
alright fag httptcohtnmjj,0
home fag didnt feel like puttin shit today,1
slid dms answer bitch,1
mean crowd crows,2
pretty sure shes bad bitch words shawty dime,1
implying bro two aint nothin lil hoescmon kim,1
bitches needa take notes,1
nigga safe hoe,1
fuck bitch,1
lmaooooo cant wash baby ass honda got cause hoe cost,1
lmaooo call phone want birds migos voice,2
watch watch tv hoe,1
nigga madison playing bitch ass white boys going harvard law scholarship play crazy,1
shut bitch spit,0
owe anyway hoe need interest shooting shit,1
seen hoe put cash bitch imma take money spit fat ass,1
feel like got married bruh bad bitch,1
bitch,1
bitch lol,1
boss ass bitch bitch bitch bitch bitch,1
lol sit make fun cant stand fag,1
robes fuckin fag smack shit outta,0
bitch music,1
fuck bitch,1
faggot,0
stop oppressing heard free speech stop shoving lifestyle throat st amendment,0
bitch youre ugly one everyone leaves ahahahaa,1
stfu dyke looking hoe,0
least black bitch parents left mcdonalds parking lot born,0
one jumped conversation smelly ass bitch fuck,1
bitch aint arguing fuk said slick shit n addressed,1
highly doubt youre real youre prolly fat ass fuckin cares let ho,1
bitch mentioned first tf wrong wit yo psychotic ass,1
may hustlin studied critical race theory people holder getting revenge hate whitey,0
someone facebook made status defending dropped bomb full knowledge bitch unfriended,1
lol tell liv none usual redneck hillbilly places none ur black gangsta places either,1
ew look like cheap tranny hooker,1
scandalous hoes lmao,1
hopes dis aint cause colored cause knows actin nigga like,0
gimme one mouth closed cant draw teeth without making look retarded omf,1
fuck yo bitch ass,1
fucking gay faggot look gay ass pink shi haha,0
better nig lol anything ill flip u something tryna get cash,0
hoe,1
give tankees mean yankees maybe next year,2
ha ha ha good fat dyke,0
kris griff ghetto know anything sperrys vans,2
talkin bout bitches gettin butthu right,1
fight expose hoes super gay shit anything negative since society works,1
call cock blocking faggot,0
fucking bitches ya using pus hook u,1
try pussy,1
atleast dick breath twat licker,1
atleast wipe ass trashy bitch,1
bitch talker youre sho stfu,1
bitch smd hoe,1
comeover bitch,1
r u ugly ur avi bitch,1
bitch,1
lady bligh bitch got natty daddys fridge,1
many hoes,1
text fag,1
fag,1
wait n nick mick,2
fuck u cant dumb bitch matter fact go get nigga hoe cuz u going shit,1
stfu prude ass basic ass bitch,1
slopes arent us bro hahaha,2
youve talking trash since,2
faggot,0
quit bitching faggot happy cant see faggot family cry baby little girl crying parking lot aint sissy,0
hu little faggot,0
niggas probably watching like look uncle tom ass rasta,0
sick bitch nutjob,1
strong force leprechauns,2
haha swatted little bitch around night staing feel bit sorry seriously,1
way fuck bitch,1
fag gay ass shit,1
way fuck bitch,1
sucks suck bitch,1
nah would probably call obsessed faggot also nice try though,1
typical ghetto girll,1
dp double penetration aka dick ass dick pussy damn time,1
bitch called yu back,1
bitch need bring ass fucking practice,1
text bitch,1
cant wait see bitch tmrw,1
nigger,1
likes dat magazine da black folk look like dey one chromeasome away da ape,0
yeah read yo shit fast bitch,1
ah lil bit bitch,1
ohh bitch gotta go fck girl second lil family frfr,1
salty pussy,1
like room isnt big sloppy mess like twitter hoes,1
skipped running eating chips brownies,2
pretty like bitch,1
robe bc one cussing like tomorrow bc hes pussy,1
bitch tho know sure youd get ass beat bitches fact,1
linda rn retard,1
eh take hoser,2
bitch,1
bitch,1
exactly shes bitch,1
lil pussy didnt dm back hmm,1
approximately one crash wasnt supposed many members seal team one bird,2
omg plz stop calling idiot kindergarden fucking faggot,0
bishhh slap hoe,1
see ud get pussy u pussy,1
mk hun textith,2
nigga minute dropped got fuck team bitch,1
none business nigga get living lol stealing one bitches k,0
disgusting banned talking hiphop retards like belong retarded ass logic,1
lol getting thisearly bird catches worm,2
video made porn actress sexy capri anderson kissing video charlie sheen httptcovthr via,2
day bitch fest maybe,1
omgwhat retardshould asked weighs thousand pounds feathers thousand pounds steel,1
faggots,0
slavery prohibition letting vote segregation jim crow laws etc etc day lol,2
darkskin dykes,1
hey dude watch calling bitch,1
dad wanted twat,1
youre right around nig,0
oh hell act proper live richardson much finer hoes ducanville,1
yesthat ghetto condescending especially miserably failed crappy school lunch initiative hypocrite,1
faggot,1
garbage rappers cant learn like teaching advanced algebra retard,1
one knows words song know sexy saxophone george michael pussy,1
thanksbitch,1
never call bitch shit,1
reals psycho ass bitch lol,1
us english go learn grammar u dick sucking hoe,1
idk ur saying probably desperate pussy,1
u call ur bestie bitch guessing shes dog barks much,1
pussy,1
prolly sound like little bitches,1
didnt mock anything asked believed noahs arc said mocking religion opinion,2
lmao dude probably biggest fag nebraska,0
stfu white trash,0
ur boss ass bitch,1
apparently little pussy cant converse nevermind fight blocked oh well youth gets frustrated easy,1
gayer faggots bed together,0
extra yellow,2
yellow even better,2
stadiums play music jayz former drug dealer whose diaphragm wouldnt work wo saying nigger every song,1
mention called nigger wrongwitch agree bossy wrongbut called pimp still ok,0
niggas pressed pussyit aint nuthininstead worrying dat bitch fucking u get chu sum money,1
youre right momma aint raise faggot,1
yeah hoe ass nigga,1
point call nigger,1
someone needs give bitches gatoraide ten,1
mouthyour pussyyour assmy dickand sandwich fuckwhat kinda question,1
groves trash imo,2
black girl lighter every bitch yall needa stop playin fuckin darkskin girls body image,1
sta lil bitch,1
niggress thinks shes human,0
ill agree take ethiopian starvin looking nigger ass back africa,0
try chainz heard big booty hoes,1
fuck bitch wheres sleeve,1
wtf ur tumblr bitch,1
u taber shit coon,1
fake pics httptcojtwuucysr get tl u r dismissed muzzie,2
mean distracted bitch,1
faggot,1
white people need weapons defend subhuman trash unleashes us,2
racial minorities werent criminally inclined wouldnt much worry act color race traitor,0
trust hoes lol na bigger us think bc guys talk girls first understand,1
university white black red ones rest trash anyway making shit,1
fucked bitch,1
mmm thanks saving mine point timefucking queer,1
mean pics idk chose one cough bitch cough,1
bitch kill yo vibe,1
bitches bow,1
fuck bitches get money,1
oh spelled give wrong psh thought id bitch,1
lmaoo abo crusty hands,2
thanks saying hi today bitch,1
trash us another conference say goodbye,2
scrolling tl ol sick ass bitch,1
make brownies,2
understand need multiple autopsies guess theyre going keep slant officer,2
next could ask grand wizard many intolerant poor souls views,1
aint bitch,1
,1
someone recently told local yokel going use twitter account damage yeah,2
thiiiiiiis close going real east side detroit monkey ass,1
live eye white trash hurricane milwaukie people use bikes bc duis save environment,0
jim crow laws segregation lynching laws anti womans suffrage laws amazing everyone want bring,2
drive nigger,1
speaking time tryna make look bad like wasnt eating pussy,1
else expect nigger lover,0
guys pussies,1
life hoes gonna hoes could blame tammy,1
birds feather,2
ill show much fag,1
coaches put positions successful offensive struggles put gardner program trash,2
wow great language coming hs coach sure role model youre trash like account,2
lookin good mick,2
shut diy di trap limp knees ashy footed blue balls isolated hamster wheel nipples bitch,0
need stop picking ufcs trash though build fighters,2
congratulations officially fucking retarded,0
say got many bitch swear aint got right ones,1
favorite drink white trash everywhere,0
try one mikey none hick shithttpyoutubethlstmufkc,1
talentless skag wardrobe malfunction,1
bitch u lying justins account ugly indian,1
fight fucking obese niglet,0
really right bed put dam yellow starburst throws window,2
ignorant cunt,0
still cunt,1
person actually holding ape paris sister,2
okay lets fight ginger faggot,0
never said wanted fuck tranny,1
tranny,2
nigga chill throw jungle watch come gorilla monkey cheetah coat,1
queer gnarles charles wasnt,1
sup pussy,1
bitch desire see much bullshit hahahaha,1
well genos ultimate faggot,0
mindless twat shitting hiphop hahahaha,1
juss way stands screams bitch lmao,1
oh really fags gross aids infected sick fuckers,0
dumb cunts like make sad served war wouldnt,1
helmets destiny trash wish could rock invisible bubble instead hunters look like robocop,2
oh basically bitch day mhmmm course,1
love bitch,1
spaceship shit retarded,1
glad uncle another stupid faggot world hopefully next,0
see picture smoking god disgraceful nig sir embarrassment,0
lol nig,1
lol profane words bwahahahahahah mad gay faggot fuck boi get bitch ass nigga,1
u arguing ugly bitch twitter,1
hell yeaim surrounded hillbillys real ass rednecks,1
nee dat na langdurig gepest wordenzoals ik al zeiin kiem smorenis ook vb voor kind hoe je moet optreden,2
bravoquality trash,2
whats comeatmebro bird stressful,2
back atcha bitch,1
ya know gamoot considered like wait little baby back bitch,1
fake bitches,1
apologize morgan bitch blind whole seconds,1
youre bitch,1
naw negro,1
chik fil hipotle trash taco bell give runs,2
faggot ale,1
bitch ass scaring lol keep new ones yet,1
think celestial dragon killed,2
still giant muk shit eats candy ceasar clown,1
ignorant cement headed hillbilly said taxing cant fuckin read fucking knob gobbling douchebag,0
lmao would respect hes hoe true,1
whats name hoe lol sounds good,1
back high school w one fuck hoes nigga lol,1
need monkey bars tricycle,2
one called pussy pop think cats,1
fuck dyslexia bitch,1
karma bitch,1
one cares bitch,1
jesus walks bitch,1
ask bitch bitches,1
rather go choke moms bomb pussy,1
called cunt,1
would need call bitchcunt face talking dumbass,1
love bitches love,1
called hoe lol,1
ily work bitch even battle ready blades,1
